AndrewS32322:15
TelsiGr 9000:11
SethGra  114:14
Cameron 2000:11
HelloTh33300:23
fun.dat  100:39
1        100:50
1        100:50
1        100:50
1        100:50
1        100:50
1        100:50
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
1        100:51
11       100:51
1        100:51
1        100:51
11       100:51
